delta_G,repeat,average_cost,num_iters,time,benefit_vs_dec
0.0,1.0,-7137.052184275016,28.177083333333332,88.72456884384155,156.9654192334192
0.0,2.0,-7136.701646794216,29.177083333333332,81.2443380355835,156.6148817526191
0.0,3.0,-7136.691939385269,29.458333333333332,85.07253289222717,156.60517434367193
0.1,1.0,-7137.09311509451,29.604166666666668,85.32609391212463,157.00635005291315
0.1,2.0,-7136.419574209987,28.6875,81.73916792869568,156.33280916839067
0.1,3.0,-7136.504807500879,28.885416666666668,79.5451340675354,156.41804245928233
1.0,1.0,-7218.333431897747,27.78125,89.47572088241577,238.2466668561501
1.0,2.0,-7217.980536249874,29.145833333333332,91.64846897125244,237.89377120827703
1.0,3.0,-7203.681719382604,26.760416666666668,89.72366905212402,223.594954341007
10.0,1.0,-6986.419086729492,33.458333333333336,81.4564700126648,6.3323216878952735
10.0,2.0,-7238.598133637876,27.25,84.27458500862122,258.5113685962797
10.0,3.0,-7367.733478149404,25.927083333333332,77.73815679550171,387.64671310780705
100.0,1.0,-6985.717336208822,35.21875,79.49482679367065,5.630571167225753
100.0,2.0,-7368.047920675435,23.895833333333332,74.88714694976807,387.96115563383864
100.0,3.0,-7367.583770403585,28.25,84.03404784202576,387.49700536198816
